date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:19:02	58848/58848	---M--	200	added ('OK')	image/png	date:Wed,%2030%20Oct%202024%2011:50:46%20GMT	https://ex-coders.com/html/digtek/assets/img/news/left-shape.png	E:/Sawan/Template/Webwider%20Theme/ex-coders.com/html/digtek/assets/img/news/left-shape.png	(from https://ex-coders.com/html/digtek/)
15:19:02	38643/38643	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20Oct%202024%2011:49:58%20GMT	https://ex-coders.com/html/digtek/assets/img/news/01.jpg	E:/Sawan/Template/Webwider%20Theme/ex-coders.com/html/digtek/assets/img/news/01.jpg	(from https://ex-coders.com/html/digtek/)
15:19:03	2873/2873	---M--	200	added ('OK')	image/png	date:Wed,%2030%20Oct%202024%2011:50:14%20GMT	https://ex-coders.com/html/digtek/assets/img/news/client-img.png	E:/Sawan/Template/Webwider%20Theme/ex-coders.com/html/digtek/assets/img/news/client-img.png	(from https://ex-coders.com/html/digtek/)
15:19:03	18157/18157	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20Oct%202024%2011:49:58%20GMT	https://ex-coders.com/html/digtek/assets/img/news/02.jpg	E:/Sawan/Template/Webwider%20Theme/ex-coders.com/html/digtek/assets/img/news/02.jpg	(from https://ex-coders.com/html/digtek/)
15:19:03	12454/12454	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20Oct%202024%2011:50:02%20GMT	https://ex-coders.com/html/digtek/assets/img/news/03.jpg	E:/Sawan/Template/Webwider%20Theme/ex-coders.com/html/digtek/assets/img/news/03.jpg	(from https://ex-coders.com/html/digtek/)
15:19:04	14051/14051	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20Oct%202024%2011:50:00%20GMT	https://ex-coders.com/html/digtek/assets/img/news/04.jpg	E:/Sawan/Template/Webwider%20Theme/ex-coders.com/html/digtek/assets/img/news/04.jpg	(from https://ex-coders.com/html/digtek/)
15:19:04	18211/18211	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Oct%202024%2010:50:54%20GMT	https://ex-coders.com/html/digtek/assets/img/rokect.png	E:/Sawan/Template/Webwider%20Theme/ex-coders.com/html/digtek/assets/img/rokect.png	(from https://ex-coders.com/html/digtek/)
15:19:04	25694/25694	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20Oct%202024%2010:43:40%20GMT	https://ex-coders.com/html/digtek/assets/img/cta-bg.jpg	E:/Sawan/Template/Webwider%20Theme/ex-coders.com/html/digtek/assets/img/cta-bg.jpg	(from https://ex-coders.com/html/digtek/)
15:19:04	26754/26754	---M--	200	added ('OK')	image/png	date:Wed,%2030%20Oct%202024%2011:56:06%20GMT	https://ex-coders.com/html/digtek/assets/img/cta-img.png	E:/Sawan/Template/Webwider%20Theme/ex-coders.com/html/digtek/assets/img/cta-img.png	(from https://ex-coders.com/html/digtek/)
15:19:05	2322/2322	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20Oct%202024%2011:50:50%20GMT	https://ex-coders.com/html/digtek/assets/img/news/pp1.jpg	E:/Sawan/Template/Webwider%20Theme/ex-coders.com/html/digtek/assets/img/news/pp1.jpg	(from https://ex-coders.com/html/digtek/)
15:19:05	3910/3910	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20Oct%202024%2011:50:52%20GMT	https://ex-coders.com/html/digtek/assets/img/news/pp2.jpg	E:/Sawan/Template/Webwider%20Theme/ex-coders.com/html/digtek/assets/img/news/pp2.jpg	(from https://ex-coders.com/html/digtek/)
15:19:05	87533/87533	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2022%20Dec%202023%2017:21:12%20GMT	https://ex-coders.com/html/digtek/assets/js/jquery-3.7.1.min.js	E:/Sawan/Template/Webwider%20Theme/ex-coders.com/html/digtek/assets/js/jquery-3.7.1.min.js	(from https://ex-coders.com/html/digtek/)
15:19:06	1762/1762	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2022%20Dec%202023%2017:21:12%20GMT	https://ex-coders.com/html/digtek/assets/js/viewport.jquery.js	E:/Sawan/Template/Webwider%20Theme/ex-coders.com/html/digtek/assets/js/viewport.jquery.js	(from https://ex-coders.com/html/digtek/)
15:19:06	80663/80663	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2022%20Dec%202023%2017:21:12%20GMT	https://ex-coders.com/html/digtek/assets/js/bootstrap.bundle.min.js	E:/Sawan/Template/Webwider%20Theme/ex-coders.com/html/digtek/assets/js/bootstrap.bundle.min.js	(from https://ex-coders.com/html/digtek/)
15:19:06	2942/2942	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2022%20Dec%202023%2017:21:12%20GMT	https://ex-coders.com/html/digtek/assets/js/jquery.nice-select.min.js	E:/Sawan/Template/Webwider%20Theme/ex-coders.com/html/digtek/assets/js/jquery.nice-select.min.js	(from https://ex-coders.com/html/digtek/)
